718272,CN,ZIC1,INTER-BR-SRAI,ZQ
718273,CN,ZIC1,INTER-BR-SRAI,ZQ
718246,CN,0002,WHS,Z5
718252,CN,0002,WHS,Z5
718253,CN,0002,REG,Z5
718254,CN,0002,BIZ,Z5
717917,CN,ZIC1,HOSP-CE-PV,ZF
717918,CN,ZIC1,HOSP-CE-PB,ZF
717919,CN,ZIC1,HOSP-CE-PB,ZF
717920,CN,ZIC1,HOSP-CE-PB,ZF
717921,CN,ZIC1,HOSP-CE-PB,ZF
717922,CN,ZIC1,HOSP-CE-PB,ZF
717923,CN,ZIC1,HOSP-CE-PB,ZF
718045,CN,0002,WHS,Z5
718046,CN,0002,WHS,Z5
718107,CN,0002,WHS,Z5
718108,CN,0002,WHS,Z5
716900,CN,ZIC1,HOSP-CE-PB,ZF
716901,CN,ZIC1,HOSP-CE-PB,ZF
717053,CN,ZIC1,INTER-BR-SRAI,ZQ
717067,CN,ZIC1,HOSP-CE-PB,ZF
717068,CN,ZIC1,HOSP-CE-PB,ZF
717227,CN,ZIC1,INTER-BR-SRAI,ZQ
716680,CN,ZIC1,HOSP-CE-PB,ZF
716681,CN,ZIC1,HOSP-CE-PB,ZF
716712,CN,0002,REG,Z5
716713,CN,0002,WHS,Z5
716714,CN,0002,WHS,Z5
716727,CN,ZIC1,HOSP-CE-PB,ZF
716728,CN,ZIC1,HOSP-CE-PB,ZF
716729,CN,ZIC1,HOSP-CE-PB,ZF
716730,CN,ZIC1,HOSP-CE-PB,ZF
716083,CN,ZIC1,CHANNEL-T1,Z5
716155,CN,0002,REG,Z5
716156,CN,0002,WHS,Z5
716297,CN,0002,BIZ,Z5
715206,CN,ZIC1,HOSP-CE-PB,ZF
715242,CN,ZIC1,HOSP-CE-PB,ZF
715243,CN,ZIC1,HOSP-CE-PB,ZF
715244,CN,ZIC1,HOSP-CE-PB,ZF
715245,CN,ZIC1,HOSP-CE-PB,ZF
715246,CN,ZIC1,HOSP-CE-PB,ZF
715247,CN,ZIC1,HOSP-CE-PB,ZF
715248,CN,ZIC1,HOSP-CE-PB,ZF
715083,CN,0002,WHS,Z5
715084,CN,0002,REG,Z5
715087,CN,ZIC1,INTER-BR-SRAI,ZQ
714579,CN,ZIC1,HOSP-CE-PB,ZF
714580,CN,ZIC1,HOSP-CE-PB,ZF
714581,CN,ZIC1,HOSP-CE-PB,ZF
714677,CN,ZIC1,HOSP-CE-PB,ZF
714678,CN,ZIC1,HOSP-CE-PB,ZF
714679,CN,ZIC1,HOSP-CE-PB,ZF
714680,CN,ZIC1,HOSP-CE-PB,ZF
714681,CN,ZIC1,HOSP-CE-PB,ZF
714682,CN,ZIC1,HOSP-CE-PB,ZF
714683,CN,ZIC1,HOSP-CE-PB,ZF
714684,CN,ZIC1,HOSP-CE-PV,ZG
714685,CN,ZIC1,HOSP-CE-PB,ZF
714686,CN,ZIC1,HOSP-CE-PB,ZF
714687,CN,ZIC1,HOSP-CE-PB,ZF
714523,CN,ZIC1,INTER-BR-SRAI,ZQ
714296,CN,0002,WHS,Z5
714342,CN,ZIC1,INTER-BR-SRAI,ZQ
713814,CN,ZIC1,INTER-BR-SRAI,ZQ
713720,CN,ZIC1,INTER-BR-SRAI,ZQ
713385,CN,ZIC1,INTER-BR-SRAI,ZQ
712980,CN,ZIC1,HOSP-CE-PB,ZF
712981,CN,ZIC1,HOSP-CE-PB,ZF
712997,CN,ZIC1,HOSP-CE-PB,ZF
712998,CN,ZIC1,HOSP-CE-PB,ZF
712999,CN,ZIC1,HOSP-CE-PB,ZF
713000,CN,ZIC1,HOSP-CE-PB,ZF
713001,CN,ZIC1,HOSP-CE-PB,ZF
713002,CN,ZIC1,HOSP-CE-PB,ZF
713003,CN,ZIC1,HOSP-CE-PB,ZF
713004,CN,ZIC1,HOSP-CE-PB,ZF
713005,CN,ZIC1,HOSP-CE-PB,ZF
712777,CN,ZIC1,INTER-BR-SRAI,ZQ
712281,CN,ZIC1,HOSP-DS-PB,ZF
712447,CN,0002,,ZF
711726,CN,ZIC1,INTER-BR-SRAI,ZQ
711761,CN,ZIC1,HOSP-CE-PB,ZF
711817,CN,ZIC1,HOSP-CE-PB,ZF
711818,CN,ZIC1,HOSP-CE-PB,ZF
711819,CN,ZIC1,HOSP-CE-PB,ZF
711820,CN,ZIC1,HOSP-CE-PB,ZF
711821,CN,ZIC1,HOSP-CE-PB,ZF
711822,CN,ZIC1,HOSP-CE-PB,ZF
